stock_code,trading_days,date_span,completeness,max_gap,extreme_changes,max_zero_streak,avg_volume,start_date,end_date,score
603290.SH,953,1424,0.6692415730337079,11.0,0,0,25893.825813221407,2020-02-04,2023-12-29,578.9185956454919
688298.SH,952,1423,0.6690091356289529,11.0,5,0,27620.78886554622,2020-02-05,2023-12-29,578.3966423827235
002975.SZ,952,1423,0.6690091356289529,11.0,0,0,14695.68487394958,2020-02-05,2023-12-29,578.2704457900539
603195.SH,951,1422,0.6687763713080169,11.0,0,0,15628.662460567823,2020-02-06,2023-12-29,577.7478408617163
603893.SH,950,1421,0.6685432793807178,11.0,0,0,34802.9852631579,2020-02-07,2023-12-29,577.3729893427601
300816.SZ,949,1418,0.6692524682651622,11.0,3,0,15122.72602739726,2020-02-10,2023-12-29,576.8126742497259
688186.SH,948,1417,0.6690190543401553,11.0,0,0,33075.69725738397,2020-02-11,2023-12-29,576.4341750116398
688398.SH,948,1417,0.6690190543401553,11.0,0,0,8276.835443037975,2020-02-11,2023-12-29,576.1571255096793
300818.SZ,947,1416,0.6687853107344632,11.0,3,0,14488.271383315734,2020-02-12,2023-12-29,575.7340293601585
688080.SH,947,1416,0.6687853107344632,11.0,2,0,8415.009503695881,2020-02-12,2023-12-29,575.6253748230131
688208.SH,946,1415,0.6685512367491167,11.0,1,0,44368.819238900636,2020-02-13,2023-12-29,575.4227484664507
300820.SZ,946,1415,0.6685512367491167,11.0,2,0,25502.823467230442,2020-02-13,2023-12-29,575.3120022443271
688090.SH,944,1411,0.669029057406095,11.0,1,0,8566.046610169491,2020-02-17,2023-12-29,574.1654942774369
300817.SZ,943,1410,0.6687943262411348,11.0,3,0,28781.148462354187,2020-02-18,2023-12-29,573.872651061947
688200.SH,943,1410,0.6687943262411348,11.0,2,0,8068.0710498409335,2020-02-18,2023-12-29,573.6183076647891
688233.SH,940,1407,0.668088130774698,11.0,5,0,27501.189361702127,2020-02-21,2023-12-29,572.2576237949324
688177.SH,940,1407,0.668088130774698,11.0,1,0,15805.309574468085,2020-02-21,2023-12-29,572.146852512096
688169.SH,940,1407,0.668088130774698,11.0,1,0,7066.914893617021,2020-02-21,2023-12-29,571.9858837746613
603719.SH,939,1404,0.6688034188034188,11.0,0,0,35092.23748668797,2020-02-24,2023-12-29,571.9136655658518
601696.SH,937,1402,0.6683309557774608,11.0,0,0,394387.2550693703,2020-02-26,2023-12-29,571.3266615910254
688396.SH,936,1401,0.6680942184154176,11.0,0,0,114371.7061965812,2020-02-27,2023-12-29,570.5435763117656
603948.SH,934,1397,0.6685755189692197,11.0,0,0,24780.309421841543,2020-03-02,2023-12-29,569.3098968445169
002976.SZ,930,1393,0.6676238334529792,11.0,0,0,23716.218279569894,2020-03-06,2023-12-29,567.1583663325528
603949.SH,928,1389,0.6681065514758819,11.0,0,0,35839.67780172414,2020-03-10,2023-12-29,566.3133504771399
300821.SZ,926,1387,0.6676279740447008,11.0,4,0,217613.41792656586,2020-03-12,2023-12-29,565.6022921168296
300819.SZ,926,1387,0.6676279740447008,11.0,4,0,31054.63606911447,2020-03-12,2023-12-29,565.2129032240657
300822.SZ,925,1386,0.6673881673881674,11.0,3,0,20110.873513513514,2020-03-13,2023-12-29,564.5900382365661
002977.SZ,923,1382,0.6678726483357453,11.0,0,0,15714.985915492958,2020-03-17,2023-12-29,563.6133839872596
300823.SZ,921,1380,0.6673913043478261,11.0,3,0,19921.39847991314,2020-03-19,2023-12-29,562.5886156380756
688051.SH,920,1379,0.6671501087744742,11.0,3,0,9273.501086956521,2020-03-20,2023-12-29,561.8995211351441
603221.SH,919,1376,0.6678779069767442,11.0,0,0,23050.210010881394,2020-03-23,2023-12-29,561.6907807549308
688189.SH,916,1373,0.6671522214129643,11.0,1,10,26105.32751091703,2020-03-26,2023-12-29,560.106819811404
300825.SZ,915,1372,0.6669096209912536,11.0,0,0,94078.60983606557,2020-03-27,2023-12-29,559.8268224718827
688228.SH,915,1372,0.6669096209912536,11.0,1,0,12359.281967213115,2020-03-27,2023-12-29,559.4208918574146
300826.SZ,910,1365,0.6666666666666666,11.0,2,0,28457.136263736265,2020-04-03,2023-12-29,557.0512378766668
603353.SH,909,1361,0.6678912564290963,11.0,0,0,22025.6897689769,2020-04-07,2023-12-29,556.6836904980364
002979.SZ,908,1360,0.6676470588235294,11.0,0,0,44530.78744493392,2020-04-08,2023-12-29,556.2878505310796
688085.SH,907,1359,0.6674025018395879,11.0,2,0,20512.11025358324,2020-04-09,2023-12-29,555.5961391729948
688096.SH,907,1359,0.6674025018395879,11.0,0,0,10352.706725468577,2020-04-09,2023-12-29,555.459395250399
002980.SZ,903,1353,0.6674057649667405,11.0,0,0,23302.6146179402,2020-04-15,2023-12-29,553.6221374972789
603095.SH,903,1353,0.6674057649667405,11.0,0,0,13118.217054263567,2020-04-15,2023-12-29,553.5072314220062
688222.SH,902,1352,0.6671597633136095,11.0,3,0,29619.841463414636,2020-04-16,2023-12-29,553.1332111962497
688126.SH,900,1348,0.6676557863501483,11.0,4,0,256599.41444444444,2020-04-20,2023-12-29,552.6394230217824
002978.SZ,901,1351,0.6669133974833457,11.0,0,0,27929.84128745838,2020-04-17,2023-12-29,552.5845069784557
002981.SZ,901,1351,0.6669133974833457,11.0,0,0,17792.54716981132,2020-04-17,2023-12-29,552.4943278529028
603682.SH,899,1347,0.6674090571640683,11.0,0,0,61975.47163515017,2020-04-21,2023-12-29,551.8182605950597
300828.SZ,899,1347,0.6674090571640683,11.0,5,0,38394.71968854283,2020-04-21,2023-12-29,551.722498827794
601609.SH,898,1346,0.6671619613670133,11.0,0,0,165243.60801781737,2020-04-22,2023-12-29,551.4773306306399
300829.SZ,898,1346,0.6671619613670133,11.0,1,0,22648.57461024499,2020-04-22,2023-12-29,551.079873474998
002982.SZ,896,1344,0.6666666666666666,11.0,0,0,17332.51004464286,2020-04-24,2023-12-29,549.9520793807453
688318.SH,895,1341,0.6674123788217748,11.0,4,0,16472.861452513967,2020-04-27,2023-12-29,549.5537628731454
603439.SH,894,1340,0.6671641791044776,11.0,0,0,86214.07606263983,2020-04-28,2023-12-29,549.3475469332071
002983.SZ,894,1340,0.6671641791044776,11.0,0,0,27993.454138702462,2020-04-28,2023-12-29,549.1225792062845
688365.SH,893,1339,0.6669156086631814,11.0,4,0,47362.25979843225,2020-04-29,2023-12-29,548.6904617189558
002985.SZ,893,1339,0.6669156086631814,11.0,0,0,30550.8398656215,2020-04-29,2023-12-29,548.6027773369813
603392.SH,893,1339,0.6669156086631814,11.0,0,0,29085.508398656217,2020-04-29,2023-12-29,548.592947242825
603212.SH,892,1338,0.6666666666666666,11.0,0,0,74711.55493273542,2020-04-30,2023-12-29,548.2442806856774
300831.SZ,890,1331,0.6686701728024043,11.0,4,0,94552.35056179775,2020-05-07,2023-12-29,547.5919098224385
002987.SZ,890,1331,0.6686701728024043,11.0,0,0,65940.41235955057,2020-05-07,2023-12-29,547.5198303074117
688466.SH,889,1330,0.6684210526315789,11.0,1,0,9561.066366704163,2020-05-08,2023-12-29,546.5962697207036
688588.SH,888,1327,0.6691785983421251,11.0,2,0,40922.0777027027,2020-05-11,2023-12-29,546.5006796373013
300832.SZ,887,1326,0.6689291101055806,11.0,1,0,31746.126268320182,2020-05-12,2023-12-29,545.9124780136352
002988.SZ,883,1320,0.668939393939394,11.0,0,0,36353.15175537939,2020-05-18,2023-12-29,543.9411218294179
601778.SH,882,1319,0.66868840030326,11.0,0,0,460099.0770975057,2020-05-19,2023-12-29,543.911099906231
688598.SH,883,1320,0.668939393939394,11.0,2,0,14920.021517553794,2020-05-18,2023-12-29,543.7630143584568
688566.SH,883,1320,0.668939393939394,11.0,3,0,13814.876557191394,2020-05-18,2023-12-29,543.7476238279121
300833.SZ,881,1318,0.6684370257966616,11.0,0,0,5916.211123723042,2020-05-20,2023-12-29,542.5026779740818
688516.SH,880,1317,0.6681852695520122,11.0,2,0,12256.039772727272,2020-05-21,2023-12-29,542.1105615780489
605001.SH,879,1316,0.6679331306990881,11.0,0,0,41802.84072810011,2020-05-22,2023-12-29,541.8181183044111
300835.SZ,878,1313,0.6686976389946687,11.0,2,0,31288.609339407743,2020-05-25,2023-12-29,541.3748541194858
002990.SZ,878,1313,0.6686976389946687,11.0,0,0,23134.404328018223,2020-05-25,2023-12-29,541.3144697248175
603950.SH,877,1312,0.6684451219512195,11.0,0,0,21816.643101482325,2020-05-26,2023-12-29,540.7648631402907
605168.SH,875,1310,0.6679389312977099,11.0,0,0,14375.189714285714,2020-05-28,2023-12-29,539.6055054196512
300836.SZ,875,1310,0.6679389312977099,11.0,2,0,10855.72342857143,2020-05-28,2023-12-29,539.549347662234
605288.SH,873,1306,0.6684532924961715,11.0,0,0,7112.140893470791,2020-06-01,2023-12-29,538.5419337109097
600918.SH,871,1304,0.6679447852760736,11.0,0,0,430092.8438576349,2020-06-03,2023-12-29,538.2860695324887
002986.SZ,872,1305,0.668199233716475,11.0,0,0,15096.705275229358,2020-06-02,2023-12-29,538.1543446660166
688360.SH,872,1305,0.668199233716475,11.0,1,10,10583.301605504586,2020-06-02,2023-12-29,538.0833104978216
601827.SH,869,1302,0.6674347158218126,11.0,0,0,92540.70425776755,2020-06-05,2023-12-29,536.9022903090191
601399.SH,868,1299,0.6682063125481139,11.0,0,1,226484.64516129033,2020-06-08,2023-12-29,536.6970342512421
300837.SZ,869,1302,0.6674347158218126,11.0,0,0,9392.194476409666,2020-06-05,2023-12-29,536.4447555161075
300838.SZ,868,1299,0.6682063125481139,11.0,0,0,20069.79262672811,2020-06-08,2023-12-29,536.2123510690412
688312.SH,868,1299,0.6682063125481139,11.0,0,0,10674.512672811059,2020-06-08,2023-12-29,536.086088454717
688599.SH,866,1297,0.6676946800308404,11.0,0,0,202472.43879907622,2020-06-10,2023-12-29,535.5978748027263
688157.SH,867,1298,0.6679506933744221,11.0,0,10,6517.650519031142,2020-06-09,2023-12-29,535.4490885377412
002989.SZ,866,1297,0.6676946800308404,11.0,0,2,30272.356812933027,2020-06-10,2023-12-29,535.2178066629401
688004.SH,864,1295,0.6671814671814672,11.0,2,0,9974.664351851852,2020-06-12,2023-12-29,533.9188008454661
688106.SH,862,1291,0.667699457784663,11.0,1,0,53152.307424593964,2020-06-16,2023-12-29,533.3311057896904
300841.SZ,862,1291,0.667699457784663,11.0,1,0,13172.278422273783,2020-06-16,2023-12-29,533.0521078066665
605166.SH,860,1289,0.6671838634600465,11.0,0,0,37305.482558139534,2020-06-18,2023-12-29,532.1829639961381
300842.SZ,860,1289,0.6671838634600465,11.0,5,10,34380.82325581396,2020-06-18,2023-12-29,532.1666361810043
